,mal_id,titles,Tag
10,10812,Toumei Shounen Tantei Akira,"['4.78', 'Action', 'akira,', 'a', 'young', 'detective,', 'uses', 'his', 'invisibility', 'to', 'investigate', 'a', 'case', 'where', 'the', 'mona', 'lisa', 'has', 'been', 'stolen', 'by', 'the', 'villainous', 'team', 'z.', '(source:', 'tv', 'tropes)']"
11,30327,New York Trip,"['4.72', 'AvantGarde', 'furukawa', 'taku', 'film.']"
12,29587,Home My Home,"['5.22', 'AwardWinning', 'Music', 'short', 'animation', 'by', 'tadanari', 'okamoto.']"
13,2402,Ashita no Joe,"['8.32', 'Drama', 'Sports', 'CombatSports', 'joe', 'yabuki', 'is', 'a', 'troubled', 'youth,', 'whose', 'only', 'solution', 'to', 'problems', 'is', 'throwing', 'punches', 'at', 'them.', 'what', 'he', 'lacks', 'in', 'manners', 'and', 'discipline,', 'he', 'makes', 'up', 'for', 'with', 'his', 'self-taught', 'fighting', 'skills.', 'one', 'day,', 'while', 'wandering', 'the', 'slums', 'of', 'doya,', 'joe', 'gets', 'into', 'a', 'fight', 'with', 'the', 'local', 'gang.', 'although', 'greatly', 'outnumbered,', 'he', 'effortlessly', 'defeats', 'them,', 'drawing', 'the', 'attention', 'of', 'danpei', 'tange—a', 'former', 'boxing', 'coach', 'turned', 'alcoholic.', 'seeing', 'his', 'potential,', 'he', 'offers', 'to', 'train', 'joe', 'into', ""japan's"", 'greatest', 'boxer.', 'at', 'first,', 'joe', 'dismisses', 'danpei', 'as', 'a', 'hopeless', 'drunk;', 'but', 'after', 'the', 'trainer', 'saves', 'his', 'life,', 'he', 'agrees', 'to', 'live', 'with', 'him', 'and', 'learn', 'the', 'art', 'of', 'boxing.', 'unfortunately,', ""joe's"", 'personality', 'makes', 'him', 'an', 'unruly', 'student,', 'and', 'he', 'often', 'falls', 'back', 'to', 'his', 'old', 'ways.', 'to', 'survive', 'the', 'harsh', 'world', 'of', 'his', 'new', 'career,', 'joe', 'needs', 'to', 'trust', 'his', 'mentor', 'and', 'master', 'the', 'techniques', 'taught', 'to', 'him.', 'however,', 'the', 'road', 'to', 'becoming', 'a', 'professional', 'boxer', 'is', 'rife', 'with', 'struggles', 'that', 'will', 'test', 'his', 'mettle', 'to', 'the', 'end.', '[written', 'by', 'mal', 'rewrite]']"
14,3858,Konchuu Monogatari Minashigo Hutch,"['7.2', 'Adventure', 'Comedy', 'Drama', 'hutch', 'is', 'a', 'small', 'honeybee', 'who', 'got', 'separated', 'from', 'his', 'mom', 'when', 'his', 'home', 'was', 'destroyed', 'by', 'invading', 'wasps,', 'and', 'he', 'now', 'desperately', 'wants', 'to', 'find', 'her', 'back.', ""it's"", 'the', 'beginning', 'of', 'an', 'adventure', 'that', 'will', 'make', 'him', 'meet', 'all', 'kinds', 'of', 'friendly', 'insects', 'who', 'try', 'to', 'help', 'him', 'out,', 'but', 'unfortunately', 'for', 'most', 'of', 'them,', 'they', 'will', 'not', 'survive', 'the', 'end', 'of', 'the', 'episode...', '(source:', 'anidb)']"
15,2316,Akakichi no Eleven,"['6.63', 'Sports', 'TeamSports', 'at', 'shinsei', 'high', 'school,', 'soccer', 'is', 'almost', 'a', 'combat', 'sport', 'and', 'new', 'team', 'coach', 'teppei', 'matsuki', 'is', 'a', 'fully', 'paid', 'up', 'sadist', 'who', 'will', 'push', 'his', 'team', 'as', 'hard', 'as', 'necessary', 'to', 'win.', 'headstrong', 'school', 'bad', 'boy', 'shingo', 'tamai', 'and', 'his', 'friend', 'ohira', 'are', 'determined', 'not', 'to', 'be', 'bullied', 'into', 'joining', ""matsuki's"", 'team;', 'instead', 'they', 'set', 'up', 'a', 'squad', 'of', 'their', 'own,', 'and', 'at', 'first', 'play', 'just', 'for', 'fun', 'and', 'struggle', 'to', 'keep', 'up', 'with', ""matsuki's"", 'team.', 'as', 'their', 'skills', 'progress,', 'they', 'play', 'other', 'teams', 'and', 'get', 'stronger', 'and', 'craftier,', 'until', 'they', 'face', 'the', 'crack', 'asakase', 'high', 'school', 'squad', 'and', 'its', 'star', 'player', 'misugi', 'yan', 'in', 'the', ""schools'"", 'final.', 'in', 'a', 'tangle', 'of', 'subplots', 'involving', 'old', 'rivalries', 'and', 'injuries,', 'and', 'a', 'mixed-race', 'player', 'seeking', 'his', 'identity', 'and', 'his', 'lost', 'mother', '(who', 'turns', 'out', 'to', 'be', 'in', 'jail),', 'shingo', 'develops', 'his', 'skills', 'as', 'a', 'center', 'forward', 'and', 'looks', 'forward', 'to', 'playing', 'a', 'visiting', 'brazilian', 'squad.', 'he', 'is', 'seriously', 'injured', 'in', 'a', 'game,', 'but', 'his', 'talent,', 'which', 'even', 'the', 'legendary', 'brazilian', 'pele', 'recognizes,', 'is', 'equaled', 'by', 'his', 'determination.', 'with', 'the', 'help', 'of', 'a', 'friend', 'of', 'his', 'old', 'rival', 'matsuki,', 'he', 'recovers', 'to', 'help', 'the', 'team', 'to', 'victory.', 'definitely', 'melodrama', 'rather', 'than', 'a', 'sports', 'series', 'proper,', 'this', 'is', 'the', 'first', 'in', 'the', 'line', 'of', 'japanese', 'soccer', 'soaps', 'that', 'stretches', 'to', 'captain', 'tsubasa', 'and', 'beyond.', 'based', 'on', 'a', 'manga', 'by', 'ikki', 'kajiwara', 'and', 'kosei', 'sonoda.', '(source:', 'the', 'anime', 'ecyclopedia)']"
16,9284,Bakuhatsu Gorou,"['5.94', 'Comedy', 'Sports', 'the', 'non-athletic', 'head', 'of', 'the', 'school', 'newspaper', 'department', 'participates', 'in', 'various', 'club', 'activities,', 'including', 'a', 'number', 'of', 'sports', 'clubs,', 'with', 'disastrously', 'hilarious', 'results.', '(source:', 'anidb)']"
17,2755,Cleopatra,"['5.61', 'Sci-Fi', 'Historical', 'in', 'the', 'far', 'future,', 'earthlings', 'come', 'across', 'the', 'foreign', 'planet', 'of', 'pasatorine.', 'few', 'things', 'are', 'understood', 'about', 'the', 'planet,', 'but', 'it', 'is', 'clear', 'that', 'earthlings', 'are', 'not', 'welcome', 'there.', 'however,', 'the', 'inhabitants', 'of', 'pasatorine', 'have', 'initiated', 'something', 'called', 'the', '""cleopatra', 'plan.""', 'puzzled', 'why', 'an', 'alien', 'planet', 'would', 'name', 'a', 'plan', 'after', 'a', 'woman', 'from', 'earth,', 'the', 'military', 'decides', 'to', 'send', 'three', ""soldiers'"", 'minds', 'back', 'to', 'the', 'past', 'to', 'study', ""cleopatra's"", 'life.', 'the', 'kingdom', 'of', 'egypt,', 'led', 'by', 'the', 'drunkard', 'ptolemy,', 'is', 'threatened', 'by', 'julius', 'caesar', 'and', 'the', 'roman', 'empire.', 'in', 'an', 'attempt', 'to', 'save', 'egypt,', 'cleopatra,', 'the', 'younger', 'sister', 'of', 'ptolemy,', 'chooses', 'to', 'undergo', 'a', 'procedure', 'that', 'makes', 'her', 'body', 'irresistible', 'to', 'caesar.', 'caesar', 'is', 'immediately', 'smitten', 'and', 'desires', 'to', 'rule', 'egypt', 'with', 'cleopatra', 'at', 'his', 'side—but', 'little', 'does', 'he', 'know', 'that', 'she', 'intends', 'to', 'assassinate', 'him', 'as', 'soon', 'as', 'she', 'can.', '[written', 'by', 'mal', 'rewrite]']"
18,9172,Kaitei Sanman Mile,"['6.2', 'Adventure', 'Fantasy', 'returning', 'home', 'from', 'an', 'ocean', 'trip,', 'young', 'isamu', 'meets', 'the', 'beautiful', 'sea-dweller', 'angel', 'on', 'a', 'volcanic', 'island.', 'attacked', 'by', 'a', 'fiery', 'dragon,', 'isamu', 'and', 'angel', 'escape', 'on', 'the', 'observation', 'boat', 'see', 'through,', 'and', 'angel', 'invites', 'isamu', 'to', 'see', 'her', 'undersea', 'kingdom', 'of', 'atlas.', '(source:', 'anidb)']"
19,18063,Tiger Mask Fuku Men League Sen,"['6.28', 'Sports', 'CombatSports', 'summary', 'of', 'episode', '23', 'to', '26.']"
20,9165,Attack No.1: Namida no Kaiten Receive,"['6.36', 'Drama', 'Sports', 'TeamSports', 'the', '2nd', 'attack', 'no.1', 'recap', 'film.', 'this', 'covers', 'episode', '7-14', 'of', 'the', 'original', 'tv', 'series.']"
21,4113,Mahou no Mako-chan,"['6.8100000000000005', 'Fantasy', 'Romance', 'mako', 'is', 'a', 'young', 'siren', 'and', 'daughter', 'to', 'the', 'king', 'of', 'the', 'sea.', 'in', 'a', 'stormy', 'day', 'she', 'rescues', 'the', 'young', 'sport', 'akira', 'from', 'a', 'wrecked', 'ship,', 'but', 'ends', 'up', 'falling', 'in', 'love', 'with', 'him.', 'so,', 'with', 'help', 'from', 'the', 'witch', 'of', 'the', 'sea,', ""she's"", 'transformed', 'into', 'a', 'human,', 'and', 'becomes', 'a', 'highschool', 'student', 'who', 'helps', 'everyone', 'with', 'her', 'strong', 'sense', 'of', 'love', 'and', 'justice', 'and', 'her', 'magical', 'pendant,', 'the', '""tear', 'of', 'the', 'mermaid.""', '(source:', 'ann)']"
22,9166,Attack No.1: Namida no Sekai Senshuken,"['6.3', 'Drama', 'Sports', 'TeamSports', 'the', 'third', 'attack', 'no.1', 'recap', 'film.', 'this', 'covers', 'the', 'championship', 'arc', 'in', 'new', 'york', 'where', 'the', 'all', 'japan', 'team', 'plays', 'against', 'the', 'soviet', 'union.']"
23,23013,Norakuro,"['6.2', 'Comedy', 'norakuro', 'is', 'a', 'black', 'dog', 'enlisted', 'in', 'the', '""mokenrentai""', '(fierce', 'dog', 'brigade),', 'an', 'imperial', 'army', 'of', 'dogs', 'fighting', 'in', 'a', 'war', 'against', 'the', 'enemy', 'monkey', 'army.', 'norakuro', 'is', 'a', 'stray', 'black-and-white', 'dog', 'in', 'an', 'army', 'of', 'white', 'dogs', 'who', 'blundered', 'his', 'way', 'while', 'being', 'a', 'private', 'second-class.', 'this', 'series', 'was', 'relatively', 'faithful', 'to', 'the', 'comics.', 'one', 'big', 'change,', 'however,', 'was', 'the', 'addition', 'of', 'the', 'army', 'nurse', 'miko,', 'whom', 'norakuro', 'had', 'a', 'crush', 'on.', 'for', 'this', 'series,', 'norakuro', 'was', 'voiced', 'by', 'nobuyo', 'ooyama,', 'who', 'would', 'later', 'become', 'noted', 'for', 'voicing', 'doraemon.', '(source:', 'cartoon', 'research)']"
24,3842,Doubutsu Takarajima,"['6.53', 'Adventure', 'jim', 'is', 'working', 'as', 'an', 'innkeeper,', 'together', 'with', 'his', 'friend,', 'the', 'mouse', 'gran.', 'one', 'day,', 'a', 'mysterious', 'man', 'visits', 'the', 'inn,', 'leaving', 'a', 'map', 'behind.', 'the', 'map', 'shows', 'an', 'island', 'with', 'a', 'treasure.', 'so', 'the', 'duo', 'sets', 'off', 'in', 'their', 'own', 'little', 'boat,', 'trying', 'to', 'fulfil', 'their', 'dreams', 'and', 'leaving', 'the', 'inn', 'far', 'behind.', 'but', 'it', 'seems', 'more', 'people', 'knows', 'of', 'the', 'map,', 'as', 'they', 'cross', 'paths', 'with', 'captain', 'silver', 'and', 'his', 'band', 'of', 'wild', 'pirates.', 'jim,', 'gran', 'and', 'their', 'new', 'friend', 'kathy', 'tries', 'to', 'beat', 'them', 'in', 'the', 'treasure', 'hunt', 'that', 'ensues.', '(source', 'ann)']"
25,29617,Good-by Elvis and USA,"['3.04', 'AvantGarde', 'Music', 'a', 'chaotic', 'mixture', 'of', 'hand-drawn', 'animation', 'and', 'magazine', 'cut-outs', 'appropriating', 'american', 'pop', 'culture.', 'with', 'a', 'soundtrack', 'involving', 'music', 'and', 'sounds', 'played', 'in', 'reverse,', 'iconography', 'of', 'war', 'and', 'pop', 'culture', 'are', 'intercut', 'or', 'merged', 'together', 'with', 'images', 'of', 'eroticism', 'and', 'consumption.', 'the', 'film', 'screened', 'at', 'the', '3rd', 'sogetsu', 'animation', 'festival', '1971.', '(source:', 'collaborative', 'cataloging', 'japan)']"
26,7779,Andersen Monogatari (TV),"['6.67', 'Drama', 'Fantasy', 'adaptations', 'of', 'numerous', 'stories', 'written', 'by', 'hans', 'christian', 'andersen.']"
27,29619,Good-by Marilyn,"['3.65', 'AvantGarde', 'Music', 'animated', 'to', 'the', 'song', '‘manatsu', 'no', 'dekigoto’', '(midsummer', 'happening)', 'by', 'miki', 'hirayama,', 'the', 'film', 'is', 'a', 'playfully', 'erotic', 'animation', 'with', 'appropriated', 'images', 'that', 'include', 'marilyn', 'monroe,', 'mickey', 'mouse,', 'superman,', 'roy', 'lichtenstein', 'prints', 'and', 'the', 'glico', 'chocolate', 'icon', 'of', 'a', 'man', 'running', 'through', 'the', 'finishing', 'line', 'of', 'a', 'race.', 'screened', 'at', 'the', '3rd', 'animation', 'festival', 'at', 'sogetsu', 'art', 'center', 'in', 'the', 'same', 'year', 'that', 'tanaami', 'participated', 'in', 'the', 'exhibition', '‘watashi', 'no', 'marilyn', 'monroe’', '(my', 'marilyn', 'monroe)', 'at', 'gallery', 'décor,', 'tokyo.', '(source:', 'collaborative', 'cataloging', 'japan)']"
28,9164,Attack No.1: Namida no Fushichou,"['6.09', 'Drama', 'Sports', 'TeamSports', 'the', 'fourth', 'and', 'final', 'recap', 'film', 'of', 'attack', 'no.1.', 'now', 'set', 'in', 'high', 'school', 'the', 'team', 'competes', 'at', 'inter-high', 'but', 'tragedy', 'strikes.']"
29,29411,12-gatsu no Uta,"['4.46', 'Music', 'short', 'film', 'by', 'tadanari', 'okamoto', 'originally', 'projected', 'on', 'three', 'screens,', 'and', 're-edited', 'for', 'domestic', 'release', 'many', 'years', 'later,', 'set', 'to', 'a', 'poem', 'by', 'noriko', 'ibaraki', 'of', 'the', 'same', 'name.']"
30,3683,Kabatotto,"['6.03', 'Comedy', 'thomas', 'is', 'a', 'cunning', 'bird', 'who', 'sponges', 'on', 'hyppo,', 'the', 'good-natured', 'hippopotamus.', 'although', 'thomas', 'is', 'a', 'dependent,', 'living', 'in', ""hyppo's"", 'big', 'mouth,', 'he', 'always', 'acts', 'lordly', 'and', 'tries', 'to', 'outsmart', 'his', 'simpleminded', 'host.', 'however,', 'their', 'basic', 'friendship', 'and', 'cooperation', 'endures', 'despite', 'their', 'frequent', 'quarrels.', 'the', 'two', 'play', 'a', 'prime', 'role', 'in', 'this', 'comic', 'series,', 'short', 'yet', 'full', 'of', 'originality.', '(source:', 'tatsunoko', 'website)']"
31,29988,Commercial War,"['4.67', 'AvantGarde', 'in', 'a', 'mixture', 'of', 'cut-out', 'and', 'hand-drawn', 'animation', 'techniques,', 'tanaami', 'jumbles', 'together', 'symbols', 'of', 'american', 'consumer', 'culture', '–such', 'as', 'coca', 'cola,', 'superman,', 'space', 'age', 'astronauts', 'and', 'hamburgers–', 'with', 'occasional', 'japanese', 'iconography,', 'such', 'as', 'the', 'squat', 'toilet.', 'the', 'frenetic', 'pace', 'of', 'the', 'animation,', 'the', 'catchphrases', 'and', 'songs', 'on', 'the', 'soundtrack', 'as', 'well', 'as', 'the', 'hand-drawn', 'crt', 'television', 'monitor', 'that', 'occasionally', 'frames', 'the', 'images', 'makes', 'reference', 'to', 'television', 'commercials.', '(source:', 'collaborative', 'cataloging', 'japan)']"
32,29585,Chikotan,"['5.49', 'Music', 'Psychological', 'okamoto', 'tadanari', 'short', 'film.']"
33,29679,Ki Renka,"['5.03', 'Drama', 'Mythology', 'independent', 'animation', 'by', 'hayashi', 'seiichi.']"
34,29675,Sarasoujuu no Hana no Iro,"['5.19', 'Drama', 'independent', 'animation', 'by', 'tsukioka', 'sadao.']"
35,30065,Osamishi Tani no Wakare Uta,"['5.1', 'Historical', 'Music', 'short', 'movie', 'by', 'tadanari', 'okamoto.']"
36,29669,Ten,"['5.25', 'AvantGarde', 'independent', 'animation', 'by', 'suzuki', 'shiniichi', '(鈴木伸一).']"
37,3819,Sasurai no Taiyou,"['6.75', 'Drama', 'Music', 'two', 'baby', 'girls', 'were', 'born', 'in', 'the', 'same', 'hospital:', 'one', 'of', 'them', 'is', 'the', 'daughter', 'of', 'an', 'aristocratic', 'family', 'while', 'the', 'other', 'belongs', 'to', 'a', 'deprived', 'household', 'which', 'lives', 'in', 'the', 'slums', 'of', 'the', 'city.', 'however,', 'the', 'nurse-in-charge,', 'michiko,', 'secretly', 'switches', 'the', 'two', 'babies', 'due', 'to', 'a', 'personal', 'grudge,', 'resulting', 'in', 'a', 'change', 'of', 'fates', 'of', 'the', 'girls', 'from', 'then', 'on.', 'many', 'years', 'later,', 'the', 'lives', 'of', 'the', 'two', 'girls', 'continue', 'to', 'be', 'intertwined', 'with', 'each', 'other,', 'with', 'the', 'rich', 'miki', 'ill-treating', 'the', 'poor', 'nozomi,', 'yet', 'both', 'of', 'them', 'hold', 'similar', 'dreams', 'to', 'become', 'a', 'singer.', '(source:', 'ann)']"
38,3843,Ali Baba to 40-hiki no Touzoku,"['5.77', 'Action', 'Fantasy', 'a', 'film', 'produced', 'for', ""toei's"", '20th', 'anniversary.', 'a', 'boy', 'who', 'is', 'the', 'descendant', 'of', 'the', 'leader', 'of', 'the', 'theives', 'who', 'met', 'a', 'grisly', 'fate', 'in', 'the', '1001', 'nights', 'bands', 'together', 'with', '38', 'cats', 'and', 'a', 'mouse', 'to', 'get', 'back', 'his', 'rightful', 'treasure', 'from', 'ali', 'baba', 'xxxiii,', 'the', 'descendent', 'of', 'ali', 'baba', 'who', 'now', 'rules', 'the', 'kingdom', 'with', 'an', 'iron', 'fist.', 'this', 'is', 'a', 'reversal', 'of', 'the', 'good', 'guy/bad', 'guy', 'roles', 'in', 'the', 'original', 'story!', '(perhaps', 'not', 'surprising', 'for', 'being', 'a', 'film', 'in', 'which', 'hayao', 'miyazaki', 'was', 'involved)', 'this', 'film', 'is', 'one', 'of', 'the', 'most', 'rollicking', 'and', 'action-packed', 'films', 'made', 'by', 'toei,', 'and', 'is', 'in', 'an', 'outrageously', 'cartoonish', 'style', 'breaking', 'with', 'the', 'toei', 'mold.', 'it', 'has', 'a', 'spectacular', 'lineup', 'of', 'animators', 'including', 'yasuji', 'mori,', 'akira', 'daikubara,', 'hayao', 'miyazaki,', 'yoichi', 'kotabe', 'and', 'reiko', 'okuyama.', 'the', 'original', 'story', 'about', 'ali', 'baba', 'and', 'the', '40', 'thieves', 'itself', 'is', 'recounted', 'at', 'one', 'point', 'in', 'the', 'film', 'in', 'an', 'unexpected', 'and', 'interesting', 'way', 'using', 'shadow-puppets.', '(source:', 'pelleas.net)']"
39,1412,Lupin III,"['7.65', 'Action', 'Adventure', 'Comedy', 'Mystery', 'AdultCast', 'arsène', 'lupin', 'iii', 'is', 'the', 'grandson', 'of', 'world-famous', 'thief', 'arsène', 'lupin,', 'and', ""he's"", 'living', 'up', 'to', 'his', ""grandfather's"", 'memory', 'as', 'a', 'high-profile', 'thief', 'himself.', 'due', 'to', 'his', 'infamy,', 'lupin', 'iii', 'attracts', 'the', 'attention', 'of', 'the', 'persistent', 'inspector', 'zenigata', 'of', 'the', 'icpo,', 'as', 'well', 'as', 'rival', 'criminals.', 'lupin', ""iii's"", 'criminal', 'lifestyle', 'even', 'seeps', 'into', 'his', 'love', 'life.', 'the', 'main', 'woman', 'in', 'lupin', ""iii's"", 'world', 'is', 'femme', 'fatale', 'fujiko', 'mine,', 'who', 'lupin', 'iii', 'can', 'never', 'tell', 'is', 'working', 'with', 'or', 'against', 'him.', 'follow', 'lupin', 'and', 'his', 'gunman', 'partner', 'daisuke', 'jigen', 'on', 'their', 'quest', 'to', 'own', 'the', 'world－or', 'at', 'least', 'the', 'valuable', 'bits!']"
40,6971,Gegege no Kitarou (1971),"['7.35', 'Adventure', 'Supernatural', 'Mythology', 'SuperPower', 'kitarou,', 'a', 'ghost,', 'spends', 'his', 'afterlife', 'helping', 'humans', 'in', 'need', 'of', 'his', 'skills.', 'he', 'thwarts', 'the', 'plans', 'of', 'evil', 'spirits', 'who', 'live', 'to', 'torment', 'humanity.']"
41,1537,Genshi Shounen Ryuu,"['6.76', 'Action', 'Adventure', 'Sci-Fi', 'when', 'ryuu', 'is', 'born', 'his', 'tribe', 'tries', 'to', 'sacrifice', 'him', 'to', 'a', 'tyrannosaurus', 'named', 'shirano', 'because', 'of', 'the', 'color', 'of', 'his', 'skin.', 'he', 'is', 'however', 'saved', 'by', 'a', 'monkey', 'who', 'raises', 'him', 'as', 'her', 'own', 'son.', 'meanwhile', ""ryuu's"", 'mother', 'has', 'left', 'the', 'tribe', 'and', 'is', 'out', 'on', 'a', 'quest', 'to', 'find', 'ryuu.', '16', 'years', 'later', 'ryuu', 'meets', 'a', 'girl', 'named', 'ran', 'who', 'was', 'sold', 'to', 'the', 'tribe', 'ryuu', 'originaly', 'came', 'from.', 'the', 'tribe', 'is', 'not', 'happy', 'to', 'see', 'ryuu', 'alive', 'and', 'tries', 'to', 'sacrifice', 'him', 'again,', 'this', 'time', 'by', 'burning', 'him', 'alive.', 'before', 'they', 'can', 'get', 'the', 'deed', 'done', 'the', 'tribe', 'is', 'massacred', 'along', 'with', ""ryuu's"", 'adoptive', 'mother', 'by', 'shirano.', 'ryuu', 'then', 'sets', 'out', 'on', 'a', 'quest', 'together', 'with', 'ran', 'to', 'find', 'his', 'mother', 'and', ""ran's"", 'brother', 'don.']"
42,5476,Fushigi na Melmo,"['6.79', 'after', 'losing', 'her', 'mother', 'in', 'a', 'tragic', 'car', 'accident,', 'nine-year-old', 'melmo', 'watari', 'now', 'faces', 'a', 'big', 'challenge:', 'taking', 'care', 'of', 'her', 'two', 'younger', 'brothers,', 'the', 'preschooler', 'totoo', 'and', 'baby', 'touch.', 'watching', 'from', 'heaven', 'and', 'concerned', 'about', 'her', ""kids'"", 'terrible', 'situation,', 'their', 'mother', 'decides', 'to', 'appear', 'in', 'their', 'lives', 'one', 'last', 'time', 'as', 'a', 'ghost', 'and', 'give', 'melmo', 'a', 'jar', 'full', 'of', 'magical', 'candies.', 'the', 'candies', 'have', 'the', 'power', 'to', 'make', 'her', '10', 'years', 'older', 'or', 'younger,', 'as', 'well', 'as', 'turn', 'her', 'into', 'any', 'animal', 'she', 'wants.', 'using', 'her', 'newfound', 'abilities,', 'melmo', 'wears', 'various', 'disguises', 'as', 'a', '19-year-old', 'woman', 'and', 'looks', 'after', 'her', 'brothers,', 'all', 'while', 'still', 'trying', 'to', 'lead', 'a', 'normal', 'life.', '[written', 'by', 'mal', 'rewrite]']"
